Ubigeo,Departamento,Provincia,Distrito,Poblacion,Superficie,hogares_saneamiento_pct,poblacion_pobreza_PCT,viviendas_con_servicio_de_luz,,,
61302,Cajamarca,Santa Cruz,ANDABAMBA,1494,"7,61",97.03,"41,40",,,,
70106,Callao,Callao,VENTANILLA,402038,"69,93",95.23,"20,30",,,,
80201,Cusco,Acomayo,ACOMAYO,5627,"141,27",82.92,"30,90",,,,
80309,Cusco,Anta,ZURITE,3714,"52,33",87.28,"28,40",,,,
80401,Cusco,Calca,CALCA,23824,"311,01",87.99,"27,00",,,,
80402,Cusco,Calca,COYA,4034,"71,43",91.46,"33,30",,,,
80501,Cusco,Canas,YANAOCA,10178,"292,97",82.06,"32,50",,,,
80602,Cusco,Canchis,CHECACUPE,4984,"962,34",83.58,"34,50",,,,
80603,Cusco,Canchis,COMBAPATA,5432,"182,5",95.31,"24,80",,,,
80708,Cusco,Chumbivilcas,VELILLE,8580,"756,84",94.06,"32,30",,,,
80102,Cusco,Cusco,CCORCA,2483,"188,56",79.31,"35,00",,,,
80101,Cusco,Cusco,CUSCO,121667,"116,22",78.64,"11,90",,,,
80807,Cusco,Espinar,SUYCKUTAMBO,2781,"652,13",95.63,"42,90",,,,
80902,Cusco,La Convencion,ECHARATE,37130,"19135,5",91.26,"54,30",,,,
80903,Cusco,La Convencion,HUAYOPATA,4539,"524,02",97.18,"26,50",,,,
80912,Cusco,La Convencion,VILLA VIRGEN,2414,"625,96",95.32,"59,70",,,,
81002,Cusco,Paruro,ACCHA,3839,"244,75",86.81,"28,60",,,,
81003,Cusco,Paruro,CCAPI,3749,"334,85",57.86,"34,70",,,,
81106,Cusco,Paucartambo,KOSÑIPATA,5692,"3745,68",80.91,"95,90",,,,
81307,Cusco,Urubamba,YUCAY,3390,"70,57",90.85,"16,70",,,,
90201,Huancavelica,Acobamba,ACOBAMBA,10258,"123,02",89.83,"21,30",,,,
90312,Huancavelica,Angaraes,SECCLLA,3885,"167,99",93.79,"28,10",,,,
90402,Huancavelica,Castrovirreyna,ARMA,1439,"304,85",95.63,"45,10",,,,
90506,Huancavelica,Churcampa,LOCROJA,4179,"92,48",82.50,"37,90",,,,
90117,Huancavelica,Huancavelica,YAULI,34557,"319,92",81.74,"65,60",,,,
90602,Huancavelica,Huaytara,AYAVI,597,"201,26",62.19,"88,70",,,,
90717,Huancavelica,Tayacaja,SURCUBAMBA,4926,"271,75",76.32,"54,70",,,,
100207,Huanuco,Ambo,SAN RAFAEL,12278,"443,63",96.35,"58,00",,,,
100208,Huanuco,Ambo,TOMAY KICHWA,3857,"42,11",85.38,"24,20",,,,
100322,Huanuco,Dos de Mayo,SILLAPATA,2430,"70,53",88.55,"55,10",,,,
100404,Huanuco,Huacaybamba,PINRA,8974,"283,71",83.97,"38,00",,,,
100510,Huanuco,Huamalies,SINGA,3342,"151,7",97.00,"24,60",,,,
100110,Huanuco,Huanuco,YARUMAYO,3139,"60,94",89.03,"40,50",,,,
101002,Huanuco,Lauricocha,BAÑOS,7184,"152,66",65.79,"57,90",,,,
